The image is 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
O 0 0 0
The image is 1
The image is 2
The image is 3
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
O 0.0196570903 0.0901851207 1.94579399
The image is 4
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
O 0.0633254349 0.143311396 2.57252026
The image is 5
The image is 6
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
O 0.0726240128 0.216754213 3.82734799
The image is 7
The image is 8
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
O 0.0819655731 0.262332499 4.97829866
The image is 9
The image is 10
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
O 0.104687952 0.338929623 6.1792016
